# keymacro key reference — all tokens that can be sent to the OS
#
# Columns
# -------
# macro_name   unique key used in macro sequences and as binding reference
# evdev_name   underlying Linux kernel evdev name (documentation only)
# category     visual grouping label in the macro list UI
# display_name human label shown in the list (defaults to macro_name if blank)
# press        space-separated token sequence (defaults to "+macro_name" if blank)
#              single keys: leave blank → generates "+macro_name"
#              combo keys:  e.g. "+LeftShift +Equal"   (release auto-derived)
# description  tooltip / search text
#
# Token prefix rules
#   +Key   hold key down        -Key   release key        Key   tap (press + release)
#
# release_auto=True on all built-ins: release is auto-derived from press
# (reverses the press sequence and flips every + to -)

macro_name,evdev_name,category,display_name,press,description

# ── Modifiers ─────────────────────────────────────────────────────────────────
LeftCtrl,KEY_LEFTCTRL,Modifiers,,,Left Control key
RightCtrl,KEY_RIGHTCTRL,Modifiers,,,Right Control key
LeftShift,KEY_LEFTSHIFT,Modifiers,,,Left Shift key
RightShift,KEY_RIGHTSHIFT,Modifiers,,,Right Shift key
LeftAlt,KEY_LEFTALT,Modifiers,,,Left Alt key
RightAlt,KEY_RIGHTALT,Modifiers,,,Right Alt / AltGr key
LeftMeta,KEY_LEFTMETA,Modifiers,,,Left Super / Win / ⌘ key
RightMeta,KEY_RIGHTMETA,Modifiers,,,Right Super / Win / ⌘ key

# ── Navigation ────────────────────────────────────────────────────────────────
Up,KEY_UP,Navigation,,,Arrow key ↑
Down,KEY_DOWN,Navigation,,,Arrow key ↓
Left,KEY_LEFT,Navigation,,,Arrow key ←
Right,KEY_RIGHT,Navigation,,,Arrow key →
Home,KEY_HOME,Navigation,,,Home — move to beginning of line
End,KEY_END,Navigation,,,End — move to end of line
PageUp,KEY_PAGEUP,Navigation,,,Page Up — scroll up one page
PageDown,KEY_PAGEDOWN,Navigation,,,Page Down — scroll down one page
Insert,KEY_INSERT,Navigation,,,Insert key — toggle insert/overwrite mode
Delete,KEY_DELETE,Navigation,,,Delete — delete character to the right

# ── Common keys ───────────────────────────────────────────────────────────────
Escape,KEY_ESC,Common,,,Escape — cancel / close dialog
Enter,KEY_ENTER,Common,,,Enter / Return — confirm / newline
Space,KEY_SPACE,Common,,,Space bar
Tab,KEY_TAB,Common,,,Tab — indent / next field
Backspace,KEY_BACKSPACE,Common,,,Backspace — delete character to the left
CapsLock,KEY_CAPSLOCK,Common,,,Caps Lock — toggle uppercase
NumLock,KEY_NUMLOCK,Common,,,Num Lock — toggle numpad numbers vs arrows
ScrollLock,KEY_SCROLLLOCK,Common,,,Scroll Lock
PrintScreen,KEY_SYSRQ,Common,,,Print Screen / SysRq
Pause,KEY_PAUSE,Common,,,Pause / Break

